id,chinese,english,math,pass
1,53,83,71,0
2,2,43,84,0
3,46,46,90,0
4,83,47,5,0
5,58,5,75,0
6,97,78,71,0
7,70,25,7,0
8,65,1,54,0
9,89,46,86,0
10,23,94,16,0
11,11,90,57,0
12,78,91,27,0
13,17,32,18,0
14,15,75,26,0
15,28,23,48,0
16,46,82,85,0
17,2,15,20,0
18,29,88,54,0
19,2,58,5,0
20,38,82,2,0
21,18,13,69,0
22,45,18,70,0
23,42,21,16,0
24,7,26,88,0
25,98,60,15,0
26,14,62,5,0
27,4,39,75,0
28,52,69,87,0
29,26,47,54,0
30,57,53,75,0
31,51,78,12,0
32,19,39,16,0
33,28,60,31,0
34,86,4,8,0
35,84,93,94,0
36,27,78,100,0
37,94,42,47,0
38,97,65,70,0
39,52,6,37,0
40,37,39,15,0
41,36,33,34,0
42,80,59,87,0
43,20,79,95,0
44,52,92,8,0
45,59,49,29,0
46,8,41,13,0
47,37,68,14,0
48,9,32,8,0
49,66,29,16,0
50,26,94,86,0
51,13,37,1,0
52,94,44,72,0
53,63,96,64,0
54,8,76,34,0
55,37,71,98,0
56,52,33,63,0
57,67,58,37,0
58,29,7,72,0
59,65,88,57,0
60,24,1,75,0
61,91,70,82,0
62,16,35,19,0
63,6,57,52,0
64,63,74,100,0
65,80,93,75,0
66,32,13,56,0
67,87,75,93,0
68,21,84,21,0
69,91,72,51,0
70,11,70,96,0
71,79,62,64,0
72,65,35,87,0
73,64,77,47,0
74,70,23,71,0
75,35,61,52,0
76,45,29,77,0
77,31,46,49,0
78,26,31,50,0
79,89,57,82,0
80,59,89,95,0
81,25,28,48,0
82,97,12,81,0
83,49,94,77,0
84,64,69,62,0
85,32,59,72,0
86,67,9,38,0
87,27,80,1,0
88,28,84,66,0
89,58,46,65,0
90,49,63,63,0
91,91,74,48,0
92,57,61,2,0
93,43,37,70,0
94,29,93,29,0
95,68,59,18,0
96,31,73,6,0
97,34,49,99,0
98,89,69,87,0
99,1,21,71,0
100,7,23,25,0
101,21,17,43,0
102,16,17,50,0
103,87,93,43,0
104,20,20,35,0
105,27,63,54,0
106,63,85,83,0
107,63,97,33,0
108,98,51,88,0
109,24,85,55,0
110,12,25,76,0
111,36,14,13,0
112,21,58,100,0
113,66,61,2,0
114,81,75,24,0
115,5,97,15,0
116,92,70,77,0
117,81,90,77,0
118,52,5,19,0
119,36,13,29,0
120,80,65,86,0
121,21,97,95,0
122,9,77,27,0
123,40,2,98,0
124,30,22,11,0
125,26,50,7,0
126,8,86,71,0
127,49,34,13,0
128,97,51,85,0
129,93,14,91,0
130,0,54,74,0
131,82,39,65,0
132,49,69,74,0
133,47,25,1,0
134,91,51,40,0
135,39,79,13,0
136,69,44,14,0
137,65,17,19,0
138,5,29,52,0
139,76,1,68,0
140,18,85,48,0
141,47,78,4,0
142,9,41,22,0
143,94,20,74,0
144,31,13,86,0
145,6,29,58,0
146,98,22,56,0
147,39,16,3,0
148,16,8,51,0
149,89,58,28,0
150,66,87,74,0
151,11,51,26,0
152,96,12,71,0
153,48,17,71,0
154,98,16,47,0
155,30,44,19,0
156,4,99,38,0
157,79,37,44,0
158,42,40,73,0
159,22,70,77,0
160,59,47,59,0
161,72,99,13,0
162,87,92,25,0
163,50,57,13,0
164,42,93,20,0
165,37,45,49,0
166,97,19,96,0
167,67,29,45,0
168,4,61,86,0
169,94,97,59,0
170,23,88,45,0
171,11,15,13,0
172,86,81,98,0
173,50,55,68,0
174,97,33,31,0
175,39,99,55,0
176,41,95,66,0
177,21,84,14,0
178,40,46,70,0
179,66,39,27,0
180,89,28,97,0
181,66,19,68,0
182,43,57,27,0
183,89,75,49,0
184,81,30,4,0
185,15,100,98,0
186,19,16,62,0
187,35,24,83,0
188,33,11,96,0
189,36,53,46,0
190,23,56,79,0
191,58,74,24,0
192,16,24,1,0
193,69,11,75,0
194,59,17,71,0
195,61,48,1,0
196,19,100,48,0
197,20,41,46,0
198,65,72,52,0
199,15,46,66,0
200,26,13,25,0
201,73,56,85,0
202,79,91,42,0
203,87,4,53,0
204,62,21,49,0
205,7,30,65,0
206,19,12,46,0
207,14,57,55,0
208,80,92,55,0
209,15,15,99,
210,17,38,31,
211,6,52,59,
212,33,55,10,
213,66,6,28,
214,40,78,31,
215,79,24,26,
216,28,17,80,
217,32,26,42,
218,68,92,26,
219,13,44,91,
220,83,67,48,
221,91,66,83,
222,17,84,88,
223,9,65,19,
224,81,32,55,
225,72,28,17,
226,38,47,15,
227,74,83,93,
228,80,60,21,
229,5,42,62,
230,81,15,20,
231,2,52,80,
232,5,3,40,
233,63,94,27,
234,43,37,37,
235,16,7,71,
236,39,58,0,
237,77,58,78,
238,31,27,13,
239,55,44,78,
240,58,97,30,
241,44,48,85,
242,70,30,22,
243,95,89,21,
244,74,72,71,
245,11,10,25,
246,89,31,1,
247,13,19,4,
248,68,84,100,
249,6,63,94,
250,78,78,1,
251,66,80,55,
252,46,96,39,
253,25,23,24,
